Organization Name,Organization Website,Location,Address Line 1,Address Line 2,Province,Postal Code,Phone Number,Grant Amount,Fiscal Year
Christie Refugee Welcome Centre,http://www.christiestreetrc.com/,Toronto,43 Christie Street,,ON,M6G3B1,4165889277,"$65,000.00 ",2013/14
College Boreal,http://www.collegeboreal.ca,Sudbury,21 Lasalle Blvd,,ON,P3C1Y4,7055606673,"$32,500.00 ",2013/14
Community Action Resource Centre in Toronto,www.communityarc.ca,Toronto,1652 Keele Street,,ON,M6M3W3,4166522273,"$134,486.00 ",2013/14
Community Development Council Durham,www.cdcd.org,Ajax,458 Fairfall Street Unit 4,,ON,L1S1R6,9056862661,"$75,000.00 ",2013/14
Community Microskills Development Centre,www.microskills.ca,Etobicoke,1 Vulcan Street,,ON,M9W1L3,4162477181,"$148,730.00 ",2013/14
Conseil économique et social d'Ottawa-Carleton,www.cesoc.ca,Ottawa,649 chemin Montréal 2e étage,,ON,K1K0T4,6132481343,"$33,285.00 ",2013/14
COSTI Immigrant Services,www.costi.org,Toronto,1710 Dufferin Street,,ON,M6E3P2,4166581600,"$481,596.00 ",2013/14
Cross-Cultural Community Services Association,http://tccsa.on.ca/en/,Markham,3636 Steeles Avenue,,ON,L3R 1K9,3059489997,"$144,614.00 ",2013/14
CultureLink Settlement Services,www.culturelink.ca,Toronto,2340 Dundas Street West Suite 301,,ON,M6P4A9,4165886288,"$228,208.00 ",2013/14
Davenport-Perth Neighbourhood & Community Health Centre,http://www.dpnchc.ca/,Toronto,1900 Davenport Road,,ON,M6N1B7,4166568025,"$65,565.00 ",2013/14
Dixie Bloor Neighbourhood Centre,dbncentre.com,Mississauga,3650 Dixie Road Suite 103,,ON,L4Y3V9,9056291873,"$192,339.00 ",2013/14
Dryden Literacy Association,,Dryden,8 avenue Whyte,,ON,P8N1Y9,8072236486,"$1,259.00 ",2013/14
Dejinta Beesha,,Toronto,8 Taber Road,,ON,M9W 3A4,4167431286,"$32,500.00 ",2013/14
East Toronto Family Community Centre,eastviewcentre.com,Toronto,86 Blake Street,,ON,M4J3C9,4163921750,"$56,331.00 ",2013/14
Elspeth Heyworth Centre for Women (North York),www.ehcforwomen.com,Toronto,2350 Finch Avenue West,Unit D,ON,M9M2C7,4166632978,"$65,000.00 ",2013/14
English at First,www.englishatfirst.com,Waterloo,16 William Street West,,ON,N2L1J3,5198863300,"$12,651.00 ",2013/14
English Language Tutoring for the Ottawa Community,www.eltoc.ca,Ottawa,153 Chapel Street Suite 201,,ON,K1N1H5,6132328566,"$4,785.00 ",2013/14
FCJ Refugee Centre,http://www.fcjrefugeecentre.org/,Toronto,208 Oakwood Avenue,,ON,M6E 2V4,416-469-9754,"$27,014.00 ",2013/14
Flemingdon Neighbourhood Services,www.fnservices.org,North York,10 Gateway Boulevard Suite 104,,ON,M3C3A1,4164242900,"$81,743.00 ",2013/14
Folk Arts Council of St. Catharines,www.folk-arts.ca,St. Catharines,85 Church Street,,ON,L2R3C7,9056856589,"$142,533.00 ",2013/14
Fort Erie Multicultural Centre,www.firststepsincanada.com,Fort Erie,52 Jarvis Street,"Mail Address: PO Box 104, L2A 5M6",ON,L2A2S4,9058713641,"$116,290.00 ",2013/14
Greek Community of Toronto,www.greekcommunity.org,Toronto,760 Pape Avenue,,ON,M4K3S7,4164691155,"$1,803.00 ",2013/14
Halton Multicultural Council,www.haltonmc.org,Oakville,1092 Speers Road,,ON,L6L2X4,9058422486,"$91,740.00 ",2013/14
Hamilton Urban Core Community Health Centre,www.hucchc.com,Hamilton,71 Rebecca Street,,ON,L8R1J1,9055223233,"$65,000.00 ",2013/14
Immigrant Services Guelph-Wellington,www.is-gw.ca,Guelph,926 Paisley Road Unit 4-5,,ON,N1K1X5,5198362222,"$70,308.00 ",2013/14
India Rainbow Community Services of Peel,www.indiarainbow.org,Mississauga,3038 Hurontario Street Suite 206,,ON,L5B3B9,9052752369,"$75,102.00 ",2013/14
INCommunities,www.informationniagara.com,St. Catharines,235 Martindale Road Unit 10,,ON,L2W1A5,9056824056,"$13,401.00 ",2013/14
Jamaican Canadian Association,www.jcassoc.com,North York,995 Arrow Road,,ON,M9M2Z5,4167465772,"$36,240.00 ",2013/14
Jane Finch Community and Family Centre,www.janefinchcentre.org,Toronto,108-4400 Jane Street,,ON,M3N2K4,4166632733,"$67,643.00 ",2013/14
Jewish Family Services of Ottawa,www.jfsottawa.com,Ottawa,2255 Carling Avenue Suite 300,,ON,K2B7Z5,6137222225,"$93,327.00 ",2013/14
JIAS (Jewish Immigrant Aid Services) Toronto,www.jiastoronto.org,Toronto,4600 Bathurst Street Suite 325,,ON,M2R3V3,4166306481,"$100,707.00 ",2013/14
JobStart,http://www.jobstart-cawl.org/,Toronto,41 Chauncey avenue,,ON,M8Z2Z2,4162312295,"$65,000.00 ",2013/14
"Kababayan Community Service Centre, Inc.",www.kababayan.org,Toronto,1313 Queen Street West Suite 133,,ON,M6K1L8,4165323888,"$33,445.00 ",2013/14
KCWA Family and Social Services,www.kcwa.ca,Toronto,27 Madison Avenue,,ON,M5R2S2,4163401234,"$65,952.00 ",2013/14
Kingston Community Health Centres,http://www.kchc.ca,Kingston,400 Elliott Avenue,,ON,K7K6M9,6135444611,"$33,996.00 ",2013/14
Kitchener-Waterloo Multicultural Centre,www.kwmc.on.ca,Kitchener,102 King Street West,,ON,N2G1A6,5197452531,"$135,607.00 ",2013/14
Korean Senior Citizens Society of Toronto,http://www.kscst.com/,Toronto,476 Grace Street,,ON,M6G3A9,4165328077,"$2,750.00 ",2013/14
La Cité collégiale,http://www.collegelacite.ca/,Ottawa,801 Aviation Pkwy,,ON,K1K 4R3,1 613-742-2483,"$65,000.00 ",2013/14
La Passerelle Integration et Developpement Economique,http://www.passerelle-ide.com/,Toronto,2 Rue Carlton,,ON,M5B 1J3,416-934-0588,"$92,750.00 ",2013/14
Lake of the Woods Adult Learning Line,,Kenora,115 Chipman Street Unit 203,,ON,P9N1V7,8074688202,$133.00 ,2013/14
Lebanese & Arab Soc. Service Agency of Ottawa-Carleton,www.lassa.ca,Ottawa,2410 Holly Lane,,ON,K1V7P1,6132360003,"$66,322.00 ",2013/14
London Cross Cultural Learner Centre,www.lcclc.org,London,505 Dundas Street,,ON,N6B1W4,5194321133,"$191,272.00 ",2013/14
Luso Community Services,www.execulink.com/~lusocentre,London,1193 Oxford Street East Unit 2,,ON,N5Y3M2,5194521466,"$8,865.00 ",2013/14
Malton Neighbourhood Services,http://www.mnsinfo.org/main_site/,Mississauga,3540 Morning Star Drive,,ON,L4T1Y2,9056776270,"$74,528.00 ",2013/14
Malvern Family Resource Centre,http://mfrc.org/,Scarborough,90 Littles Rd,,ON,M1B 5E2,416-284-4184,"$32,500.00 ",2013/14
Mennonite Community Services of Southern Ontario,mcson.org,Aylmer,16 Talbot Street East,,ON,N5H1H4,5197653024,"$80,871.00 ",2013/14
Mennonite New Life Centre of Toronto,www.mnlct.org,Toronto,1774 Queen Street East Suite 200,,ON,M4L1G7,4166994527,"$113,384.00 ",2013/14
Midaynta Community Services,http://midaynta.com/,Toronto,1992 Yonge Street,,ON,M4S 1Z7,4165441992,"$63,851.00 ",2013/14
Multicultural Association of Kenora & District,www.kenoravolunteers.com,Kenora,136 Main Street South,,ON,P9N1S9,8074683895,"$4,813.00 ",2013/14
Multicultural Council of Windsor and Essex County,www.themcc.com,Windsor,245 Janette Avenue,,ON,N9A4Z2,5192551127,"$83,314.00 ",2013/14
New Canadians Centre Peterborough,www.nccpeterborough.ca,Peterborough,205 Sherbrooke Street Unit D,,ON,K9J2N2,7057430882,"$24,074.00 ",2013/14
Newcomer Centre of Peel,www.ncpeel.ca,Mississauga,165 Dundas Street West Suite 116,,ON,L5B2N6,9053060577,"$65,000.00 ",2013/14
Newcomer Women's Services Toronto,www.newcomerwomen.org,Toronto,745 Danforth Avenue Suite 401,,ON,M4J1L4,4164690196,"$116,988.00 ",2013/14
North Bay & District Multicultural Centre,http://www.nbdmc.ca/,North Bay,100 Main St East,,ON,P1B 1A8, 705-495-8931,"$40,000.00 ",2013/14
North York Community House,www.nych.ca,Toronto,700 Lawrence Avenue West Suite 226,,ON,M6A3B4,4167840920,"$65,000.00 ",2013/14
Northwood Neighbourhood Centre,www.northw.ca,Toronto,2625 Weston Road,Building D 2nd Floor Unit 27,ON,M9N3V8,4167480788,"$74,868.00 ",2013/14
OCASI-Ontario Council of Agencies Serving Immigrants,www.ocasi.org,Toronto,110 Eglinton Avenue West Suite 200,,ON,M4R1A3,4163224950,"$199,038.00 ",2013/14
Ottawa Chinese Community Service Centre,www.occsc.org,Ottawa,381 Kent Street Suite 4004,,ON,K2P2A8,6132354875,"$76,987.00 ",2013/14
Ottawa Community Immigrant Services Organization,www.ociso.org,Ottawa,959 Wellington Street West,,ON,K1Y2X5,6137250202,"$224,859.00 ",2013/14
Parkdale Intercultural Association,www.piaparkdale.com,Toronto,1257 Queen Street West,,ON,M6K1L5,4165364420,"$91,903.00 ",2013/14
Peel Multicultural Council,www.peelmc.com,Mississauga,6630 Turner Valley Road,,ON,L5N2P1,9058191144,"$69,341.00 ",2013/14
Polycultural Immigrant & Community Services,www.polycultural.org,Toronto,"17 Four Seasons Place, #102",,ON,M9B6E6,4162331655,"$205,245.00 ",2013/14
Punjabi Community Health Services,http://pchs4u.com/,MIssissauga,2980 Drew Road,Unit #241,ON, L4T 0A7,905-677-0889,"$65,000.00 ",2013/14
Quinte United Immigrant Services,www.quis-immigration.org,Belleville,41 Octavia Street,PO Box 22141,ON,K8N5V7,6139687723,"$39,651.00 ",2013/14
Rexdale Women's Centre,www.rexdalewomen.org,Etobicoke,925 Albion Road,Suite 309,ON,M9V1A6,4167450062,"$170,991.00 ",2013/14
Sault Community Information & Career Centre Inc.,http://www.saultcareercentre.ca/,Sault Ste. Marie,503 Queen St East,,ON,P6A 2A2,705-759-0909,"$26,800.00 ",2013/14
Scadding Court Community Centre,http://www.scaddingcourt.org/,Toronto,707 Dundas Street West,,ON,M5T2W6,4163920335,"$32,678.00 ",2013/14
Settlement Assistance and Family Support Services,www.safss.org,Scarborough,1200 Markham Road Suite 214,,ON,M1H3C3,4164314847,"$77,531.00 ",2013/14
Skills for Change,www.skillsforchange.org,Toronto,791 St. Clair Avenue West,,ON,M6C1B7,4166583101,"$76,720.00 ",2013/14
Social Enterprise for Canada,www.socialenterprise.ca,Newmarket,17705 Leslie Street,,ON,L3Y2E3,2894705313,"$65,000.00 ",2013/14
Sojourn House,http://www.sojournhouse.org/,Toronto,101 Ontario Street,,ON,M5A 2V2,416-864-0515,"$65,000.00 ",2013/14
South Asian Women's Centre,http://www.sawc.org,Toronto,800 Lansdowne Avenue Unit 1,,ON,M6H4K3,4165372276,"$97,707.00 ",2013/14
South Essex Community Council,www.secc.on.ca,Leamington,215 Talbot Street East,,ON,N8H3X5,5193268629,"$57,781.00 ",2013/14
St. Christopher House,www.stchrishouse.org,Toronto,588 Queen Street West 2nd Floor,,ON,M6J1E3,4165043535,"$125,205.00 ",2013/14
St. Stephen's Community House,www.ststephenshouse.com,Toronto,91 Bellevue Avenue,,ON,M5T2N8,4169648747,"$117,804.00 ",2013/14
Sudbury Multicultural and Folk Arts Association,www.sudburymulticultural.org,Sudbury,196 Van Horne Street,,ON,P3E1E5,7056740795,"$42,982.00 ",2013/14
Teachers of English as a Second Language (TESL) Association of Ontario,www.teslontario.org,Toronto,27 Carlton Street Suite 405,,ON,M5B1L2,4165934243,"$9,259.00 ",2013/14
The Catholic Centre for Immigrants Ottawa-Centre Catholique pour Immigrants Ottawa,www.cic.ca,Ottawa,219 Argyle Avenue Suite 500,,ON,K2P2H4,6132329634,"$264,596.00 ",2013/14
The 519 Church Street Community Centre,http://www.the519.org/,Toronto,519 Church Street,,ON,M4Y 2C9,416-864-0515,"$32,500.00 ",2013/14
Thorncliffe Neighbourhood Office of Toronto,www.thorncliffe.org,Toronto,18 Thorncliffe Park Drive,,ON,M4H1N7,4164213054,"$69,555.00 ",2013/14
Thunder Bay Multicultural Association,http://www.thunderbay.org/,Thunder Bay,17 North Court Street,,ON,P7A4T4,8073450551,"$61,077.00 ",2013/14
Tropicana Community Services Organization,www.tropicanacommunity.org,Toronto,670 Progress Avenue Unit 14,,ON,M1H3A4,4164399009,"$3,391.00 ",2013/14
University Settlement Recreation Centre,www.usrc.com,Toronto,23 Grange Road,,ON,M5T1C3,4165983444,"$150,549.00 ",2013/14
Welland Heritage Council and Multicultural Centre,www.wellandheritagecouncil.com,Welland,26 East Main Street,,ON,L3B3W3,9057325337,"$101,778.00 ",2013/14
WIL Counselling and Training for Employment,http://www.wil.ca/,London,141 Dundas Street 4th Floor,,ON,N6A1G3,5196635377,"$29,350.00 ",2013/14
WoodGreen Community Services,www.woodgreen.org,Toronto,815 Danforth Avenue 1st Floor,,ON,M4J1L2,4164623110,"$86,797.00 ",2013/14
Working Skills Centre of Ontario,www.workingskillscentre.com,Toronto,55 Eglinton Avenue East Suite 703,,ON,M4P1G8,4167037770,"$123,454.00 ",2013/14
Working Women Community Centre,www.workingwomencc.org,Toronto,533 Gladstone Avenue Unit A,,ON,M6H3J1,4167509600,"$132,549.00 ",2013/14
YMCA of Cambridge Immigrant Services,www.ymcacambridge.com,Cambridge,258 Hespeler Road,,ON,N1R3H3,5196211621,"$39,628.00 ",2013/14
YMCA of Hamilton Burlington Brantford,www.ymcahb.ca,Hamilton,79 James Street South,,ON,L8P2Z1,9055297102,"$150,000.00 ",2013/14
YMCA of Simcoe Muskoka,www.ymcaofbarrie.org,Barrie,22 Grove Street West,,ON,L4N1M7,7057972020,"$23,065.00 ",2013/14
YMCA of Sudbury,http://www.sudbury.ymca.ca/,Sudbury,"112-, 10 Elm Street",,ON,P3C 5N3,705-674-2324,"$32,500.00 ",2013/14
YMCAS Across Southwestern Ontario,www.ymcaswo.ca,Sarnia,1015 Finch Drive,,ON,N7S6G5,5193365950,"$28,089.00 ",2013/14
,,,,,,,,,
,,,,,,,,,
(https://www.toronto.ca/city-government/data-research-maps/open-data/) ,,,,,,,,,
